Denominations : 1 7 17 23 37 52 1 cents,1:1,0.00011 seconds
1 cents,1:1,0.00001 seconds
2 cents,1:2,0.00002 seconds
2 cents,1:2,0.00003 seconds
3 cents,1:3,0.00004 seconds
3 cents,1:3,0.00002 seconds
4 cents,1:4,0.00002 seconds
4 cents,1:4,0.00004 seconds
5 cents,1:5,0.00003 seconds
5 cents,1:5,0.00005 seconds
6 cents,1:6,0.00004 seconds
6 cents,1:6,0.00004 seconds
7 cents,7:1,0.00004 seconds
7 cents,7:1,0.00003 seconds
8 cents,7:1 1:1,0.00020 seconds
8 cents,7:1 1:1,0.00006 seconds
9 cents,7:1 1:2,0.00011 seconds
9 cents,7:1 1:2,0.00006 seconds
10 cents,7:1 1:3,0.00012 seconds
10 cents,7:1 1:3,0.00006 seconds
11 cents,7:1 1:4,0.00022 seconds
11 cents,7:1 1:4,0.00006 seconds
12 cents,7:1 1:5,0.00006 seconds
12 cents,7:1 1:5,0.00009 seconds
13 cents,7:1 1:6,0.00007 seconds
13 cents,7:1 1:6,0.00008 seconds
14 cents,7:2,0.00008 seconds
14 cents,7:2,0.00007 seconds
15 cents,7:2 1:1,0.00007 seconds
15 cents,7:2 1:1,0.00009 seconds
16 cents,7:2 1:2,0.00018 seconds
16 cents,7:2 1:2,0.00080 seconds
17 cents,17:1,0.00015 seconds
17 cents,17:1,0.00010 seconds
18 cents,17:1 1:1,0.00037 seconds
18 cents,17:1 1:1,0.00011 seconds
19 cents,17:1 1:2,0.00007 seconds
19 cents,17:1 1:2,0.00007 seconds
20 cents,17:1 1:3,0.00008 seconds
20 cents,17:1 1:3,0.00005 seconds
21 cents,7:3,0.00011 seconds
21 cents,7:3,0.00010 seconds
22 cents,7:3 1:1,0.00027 seconds
22 cents,7:3 1:1,0.00007 seconds
23 cents,23:1,0.00009 seconds
23 cents,23:1,0.00006 seconds
24 cents,23:1 1:1,0.00012 seconds
24 cents,23:1 1:1,0.00009 seconds
25 cents,23:1 1:2,0.00007 seconds
25 cents,23:1 1:2,0.00003 seconds
26 cents,23:1 1:3,0.00004 seconds
26 cents,23:1 1:3,0.00004 seconds
27 cents,23:1 1:4,0.00005 seconds
27 cents,23:1 1:4,0.00004 seconds
28 cents,7:4,0.00006 seconds
28 cents,7:4,0.00004 seconds
29 cents,7:4 1:1,0.00008 seconds
29 cents,7:4 1:1,0.00005 seconds
30 cents,23:1 7:1,0.00008 seconds
30 cents,23:1 7:1,0.00008 seconds
31 cents,23:1 7:1 1:1,0.00013 seconds
31 cents,23:1 7:1 1:1,0.00009 seconds
32 cents,23:1 7:1 1:2,0.00015 seconds
32 cents,23:1 7:1 1:2,0.00011 seconds
33 cents,23:1 7:1 1:3,0.00014 seconds
33 cents,23:1 7:1 1:3,0.00011 seconds
34 cents,17:2,0.00009 seconds
34 cents,17:2,0.00008 seconds
35 cents,17:2 1:1,0.00008 seconds
35 cents,17:2 1:1,0.00010 seconds
36 cents,17:2 1:2,0.00009 seconds
36 cents,17:2 1:2,0.00006 seconds
37 cents,37:1,0.00012 seconds
